Name_of_Covered_Entity	State	Individuals_Affected	Date_of_Breach	Type_of_Breach	Month	Year
Holy Cross Hospital	FL	1500	07/27/2010	Theft	07	2010
Montefiore Medical Center	NY	16820	05/22/2010	Theft	05	2010
Long Island Consultation Center	NY	800	05/21/2010	Theft	05	2010
Ankle + Foot Center of Tampa Bay, Inc.	FL	156000	10/28/2010	Theft	10	2010
Holyoke Medical Center	MA	24750	07/26/2010	Improper Disposal	07	2010
Wright State Physicians	OH	1309	06/11/2010	Other	06	2010
Debra C. Duffy, DDS	TX	4700	08/5/2010	Theft	08	2010
University Health Services, University of Massachusetts, Amherst	MA	942	09/29/2010	Unauthorized Access/Disclosure	09	2010
Montefiore Medical Center	NY	625	02/20/2010	Theft	02	2010
Texas Children's Hospital	TX	694	05/13/2010	Theft	05	2010
Dean Health Systems, Inc.; St. Mary's Hospital; St. Marys Dean Ventures, Incorporated	WI	3288	11/8/2010	Theft	11	2010
Alliance HealthCare Services, Inc.	CA	1474	08/5/2010	Theft	08	2010
Jefferson Center for Mental Health	CO	546	12/13/2010	Theft	12	2010
UnitedHealth Group health plan single affiliated covered entity	MN	16291	01/26/2010	Other	01	2010
SunBridge Healthcare Corporation	NM	3830	05/11/2010	Theft	05	2010
Praxair Healthcare Services, Inc. (Home Care Supply in NY)	CT	54165	02/18/2010	Theft	02	2010
Eastmoreland Surgical Clinic, William Graham, DO	OR	4328	07/5/2010	Theft	07	2010
LoneStar Audiology Group	TX	585	08/11/2010	Theft	08	2010
Heriberto Rodriguez-Ayala, M.D.	TX	4200	04/3/2010	Theft	04	2010
Chattanooga Family Practice Associates, P.C.	TN	1711	07/15/2010	Loss	07	2010
Cumberland Gastroenterology, P.S.C.	KY	2200	09/18/2010	Theft	09	2010
Laboratory Corporation of America / US LABS / Dianon Systems, Inc	AZ	2773	02/18/2010	Theft	02	2010
Aetna, Inc.	CT	2345	09/9/2010	Unauthorized Access/Disclosure	09	2010
Shands at UF	FL	12580	01/27/2010	Theft	01	2010
Children's Hospital & Research Center at Oakland	CA	1000	05/25/2010	Other	05	2010
Mankato Clinic	MN	3159	11/1/2010	Theft	11	2010
Robert Wheatley, DDS, PC	MO	1400	10/17/2010	Theft	10	2010
University of Kentucky	KY	2027	06/18/2010	Theft	06	2010
PMC Medicare Choice	PR	605	02/4/2010	Theft	02	2010
Long Beach Memorial Medical Center	CA	2250	12/10/2010	Unauthorized Access/Disclosure	12	2010
Centra	VA	11982	11/11/2010	Theft	11	2010
Clarksburg - Louis A. Johnson VA Medical Center	WV	1470	10/26/2010	Unauthorized Access/Disclosure	10	2010
Department of Health Care Policy & Financing	CO	105470	05/17/2010	Theft	05	2010
University of Connecticut Health Center	CT	1382	06/07/2010 	Unauthorized Access/Disclosure	06	2010 
The Methodist Hospital	TX	689	01/18/2010	Theft	01	2010
CHC MEMPHIS CMHC, LLC	TN	500	12/4/2010	Theft	12	2010
State of South Carolina Budget and Control Board Employee Insurance Program (EIP)	SC	5596	11/8/2010	Hacking/IT Incident	11	2010
University of New Mexico Health Sciences Center	NM	1900	02/8/2010	Other	02	2010
County of Los Angeles	CA	33000	07/29/2010	Theft	07	2010
VHS Genesis Lab Inc. 	IL	6800	01/10/2010	Loss	01	2010
Silicon Valley Eyecare Optometry and Contact Lenses	CA	40000	04/2/2010	Theft	04	2010
John Deere Health Benefit Plan for Wage Employees	IL	1097	06/24/2010	Other	06	2010
 DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale	GA	7500	07/11/2010	Theft	07	2010
Beauty Dental, Inc.	IL	657	06/5/2010	Theft, Loss	06	2010
University of Rochester Medical Center and Affiliates	NY	2628	04/19/2010	Other	04	2010
VNA of Southeastern Ct.	CT	12000	09/30/2010	Theft	09	2010
TRICARE Management Activity	CO	4500	06/25/2010	Unauthorized Access/Disclosure	06	2010
Blue Cross Blue Shield of Michigan	MI	11387	11/17/2010	Unauthorized Access/Disclosure, Hacking/IT Incident	11	2010
zarzamora family dental care	TX	800	10/15/2010	Theft	10	2010
Osceola Medical Center	WI	585	11/25/2010	Unauthorized Access/Disclosure	11	2010
Utah Department of Health	UT	1298	03/1/2010	Other	03	2010
Aultman Hospital	OH	13867	06/7/2010	Theft	06	2010
University Hospital	GA	14000	05/7/2010	Loss	05	2010
Puerto Rico Department of Health	PR	115000	09/3/2010	Unauthorized Access/Disclosure	09	2010
Rockbridge Area Community Services	VA	500	03/12/2010	Theft	03	2010
International Union of Operating Engineers Health and Welfare Fund 	MD	800	10/25/2010	Theft	10	2010
Albert Einstein Healthcare Network	PA	613	10/21/2010	Theft	10	2010
Charles Mitchell MD	TX	6873	06/27/2010	Theft	06	2010
Phoebe Putney Memorial Hospital, Inc. 	GA	12937	07/26/2010	Theft	07	2010
University Health System	NV	7526	06/11/2010	Theft	06	2010
Miami VA Healthcare System	FL	568	01/19/2010	Loss	01	2010
Texas Health Harris Methodist Hospital Azle	TX	9922	04/7/2010	Theft, Loss	04	2010
Pediatric Sports and Spine Associates	TX	955	02/10/2010	Theft	02	2010
Counseling and Psychotherapy of Throggs Neck	NY	9000	09/6/2010	Theft	09	2010
Cincinnati Childrens Hospital Medical Center 	OH	60998	03/27/2010	Theft	03	2010
Friendship Center Dental Office	FL	2200	12/19/2010	Theft	12	2010
Tomah Memorial Hospital	WI	600	03/19/2010	Other	03	2010
Central Brooklyn Medical Group, PC	NY	500	08/3/2010	Theft	08	2010
Laboratory Corporation of America/Dynacare Northwest, Inc.	WA	5080	02/12/2010	Theft	02	2010
Lucille Packard Children's Hospital	CA	532	01/11/2010	Other	01	2010
Medina County OB/GYN	OH	1200	06/13/2010	Improper Disposal	06	2010
Reliant Rehabilitation Hospital North Houston	TX	768	02/9/2010	Unauthorized Access/Disclosure 	02	2010
Prince William County Community Services (CS)	VA	669	06/18/2010	Theft	06	2010
SunBridge Healthcare Corporation	NM	1000	06/26/2010	Theft	06	2010
Walsh Pharmacy	MA	11440	06/3/2010	Other	06	2010
Stanford Hospital & Clinics	CA	19651	09/9/2010	Unauthorized Access/Disclosure	09	2010
Grays Harbor Pediatrics, PLLC	WA	12009	11/23/2010	Theft	11	2010
Veterans Health Administration	DC	656	04/22/2010	Theft	04	2010
Trinity Health Corporation Welfare Benefit Plan	MI	1073	03/29/2010	Loss	03	2010
Aetna	CT	6372	03/29/2010	Improper Disposal	03	2010
Penn Treaty Network America Insurance Company 	PA	560	06/4/2010	Other	06	2010
UnitedHealth Group health plan single affiliated covered entity	MN	735	03/2/2010	Theft	03	2010
LabCorp Patient Service Center	NV	507	08/2/2010	Theft	08	2010
Newark Beth Israel Medical Center	NJ	956	05/10/2010	Theft	05	2010
Baptist Memorial Hospital - Huntingdon	TN	4800	11/27/2010	Theft	11	2010
Loma Linda University Health Care	CA	584	04/4/2010	Theft	04	2010
Ault Chiropractic Center	IN	2000	09/15/2010	Theft	09	2010
Loma Linda University School of Dentistry	CA	10100	06/13/2010	Theft	06	2010
St. John's Mercy Medical Group	MO	1907	06/7/2010	Improper Disposal	06	2010
UnitedHealth Group health plan single affiliated covered entity	MN	1270	07/8/2010	Other	07	2010
Upper Valley Medical Center	OH	15000	10/01/2010	Unauthorized Access/Disclosure	10	2010
Johns Hopkins University Applied Physics Laboratory (JHU/APL) Medical and Dental Insurance Plan	MD	692	06/15/2010	Other	06	2010
St. Joseph Heritage Healthcare	CA	22012	03/6/2010	Theft	03	2010
Providence Hospital	MI	83945	02/4/2010	Other	02	2010
Coulee Medical Center	WA	2500	01/01/2010	Unauthorized Access/Disclosure	01	2010
Our Lady of Peace Hospital	KY	24600	03/31/2010	Theft, Loss	03	2010
New York City Health & Hospitals Corporation's North Bronx Healthcare Network	NY	1700000	12/23/2010	Theft	12	2010
State of Alaska, Department of Health and Social Services	AK	2000	09/7/2010	Theft	09	2010
Rainbow Hospice and Palliative Care	IL	1000	04/12/2010	Theft	04	2010
Sinai Hospital of Baltimore, Inc.	MD	937	05/3/2010	Other	05	2010
St.Vincent Physician Network	IN	1423	12/01/2010	Theft, Unauthorized Access/Disclosure	12	2010
TennCare	TN	10515	03/20/2010	Theft	03	2010
E. Brooks Wilkins Family Medicine, PA	NC	13000	02/1/2010	Theft	02	2010
Comprehensive Care Management Corporation	NY	1020	04/30/2010	Theft	04	2010
NYU School of Medicine--Aging and Dementia Clinical Research Center 	NY	1200	04/3/2010	Loss	04	2010
Prime Home Care, LLC	NE	1550	09/13/2010	Theft	09	2010
North Carolina Baptist Hospital	NC	554	02/15/2010	Theft	02	2010
Baylor College of Medicine	TX	1646	05/13/2010	Theft	05	2010
Montefiore Medical Center	NY	23753	06/9/2010	Theft	06	2010
Matthew H. Conrad, M.D., P.A.	KS	1200	08/20/2010	Theft	08	2010
St. Jude Children's Research Hospital	TN	1745	04/19/2010	Loss	04	2010
University of Oklahoma - Tulsa, Neurology Clinic	OK	19200	07/28/2010	Hacking/IT Incident	07	2010
Geisinger Wyoming Valley Medical Center	PA	2928	11/3/2010	Unauthorized Access/Disclosure	11	2010
Keystone/AmeriHealth Mercy Health Plans	PA	808	09/20/2010	Loss	09	2010
South Shore Hospital	MA	800000	02/26/2010	Loss	02	2010
Thrivent Financial for Lutherans	WI	9500	01/29/2010	Theft	01	2010
Occupational Health Partners	KS	1105	05/12/2010	Theft	05	2010
Ashley and Gray DDS	MO	9309	01/10/2010	Theft	01	2010
Cook County Health & Hospitals System	IL	7081	05/30/2010	Theft	05	2010
Benefit Resources, Inc.	SC	16200	10/13/2010	Loss	10	2010
The Children's Medical Center of Dayton	OH	1001	04/22/2010	Other	04	2010
Beatrice Community Hospital and Health Center	NE	660	03/19/2010	Other	03	2010
Lake Woods Nursing & Rehabilitation Center	MI	656	12/28/2010	Theft	12	2010
Fort Worth Allergy and Asthma Associates	TX	25000	06/29/2010	Theft	06	2010
Indiana Family and Social Services Administration	IN	757	11/4/2010	Theft	11	2010
Kings County Hospital Center	NY	542	08/22/2010	Theft	08	2010
Seacoast Radiology, PA	NH	231400	11/12/2010	Hacking/IT Incident	11	2010
Triple-S Salud, Inc.	PR	398000	09/9/2010	Theft	09	2010
MMM Heath Care Inc. 	PR	1907	02/4/2010	Theft	02	2010
Knox Community Hospital	OH	500	10/1/2010	Improper Disposal	10	2010
Idaho Power Group Health Plan	ID	5500	03/29/2010	Loss	03	2010
LORENZO BROWN, MD INC.	CA	928	08/17/2010	Theft	08	2010
Cook County Health & Hospitals System	IL	556	11/1/2010	Theft	11	2010
Ochsner Health System	LA	9475	09/27/2010	Unauthorized Access/Disclosure	09	2010
Henry Ford Hospital	MI	3700	09/24/2010	Theft	09	2010
Saint Barnabas Medical Center	NJ	3630	05/10/2010	Theft	05	2010
Central City Concern	OR	17914	03/23/2010	Unauthorized Access/Disclosure	03	2010
Gary C. Spinks, DMD, PC	MD	1000	09/29/2010	Hacking/IT Incident	09	2010
Saint Louis University	MO	800	12/11/2010	Hacking/IT Incident	12	2010
Mount Sinai Medical Center	FL	2600	03/9/2010	Theft	03	2010
St. James Hospital and Health Centers	IL	967	08/10/2010	Improper Disposal	08	2010
Sta-home Health & Hospice	MS	1104	09/16/2010	Theft	09	2010
Oklahoma City VA Medical Center	OK	1950	10/8/2010	Theft, Loss, Improper Disposal	10	2010
Manor Care Indy (South), LLC.	IN	845	09/11/2010	Unauthorized Access/Disclosure	09	2010
University of Florida	FL	2047	05/24/2010	Other	05	2010
Thomas Jefferson University Hospitals, Inc.	PA	21000	06/14/2010	Theft	06	2010
Southern Perioperative Services, P.C.	AL	2000	11/17/2010	Theft	11	2010
Lincoln Medical and Mental Health Center	NY	130495	03/24/2010	Theft	03	2010
DC Chartered Health Plan, Inc	DC	540	05/26/2010	Theft	05	2010
Hospital Auxilio Mutuo	PR	1000	11/9/2010	Theft, Unauthorized Access/Disclosure, Hacking/IT Incident	11	2010
Georgetown University Hospital	DC	2416	03/26/2010	Theft, Other	03	2010
St.Vincent Hospital - Indianapolis	IN	1848	11/12/2010	Hacking/IT Incident	11	2010
John Muir Physician Network	CA	5450	02/4/2010	Theft	02	2010
Centerstone	TN	1537	05/1/2010	Other	05	2010
State of New Mexico Human Services Department, Medical Assistance Division	NM	9600	03/20/2010	Theft	03	2010
Memorial Hospital of Gardena	CA	771	10/14/2010	Unauthorized Access/Disclosure	10	2010
NewYork-Presbyterian Hospital and Columbia University Medical Center	NY	6800	07/1/2010	Theft	07	2010
The Kent Center 	RI	1361	07/13/2010	Theft	07	2010
Mountain Vista Medical Center	AZ	2291	10/13/2010	Loss	10	2010
California Department of Healthcare Services	CA	29000	04/29/2010	Loss, Other	04	2010
Mary M. Desch,MD/PathHealer, LTD	AZ	5893	05/15/2010	Theft	05	2010
Texas Health Arlington Memorial Hospital	TX	654	12/23/2010	Unknown	12	2010
Indiana Regional Medical Center	PA	1388	09/28/2010	Theft	09	2010
Nihal Saran, MD 	MI	2300	05/2/2010	Theft	05	2010
Jewish Hospital	KY	2089	07/16/2010	Theft	07	2010
Emergency Healthcare Physicians, Ltd.	IL	180111	02/27/2010	Theft	02	2010
Carle Clinic Association	IL	1300	01/13/2010	Theft	01	2010
Milford Regional Medical Center	MA	20000	07/26/2010	Improper Disposal	07	2010
Hanger Prosthetics & Orthotics, Inc.	TX	4486	11/24/2010	Theft	11	2010
Yale University	CT	1000	07/28/2010	Theft	07	2010
NYU Hospitals Center	NY	2563	05/8/2010	Theft	05	2010
Newark Beth Israel Medical Center	NJ	1744	01/1/2010	Theft	01	2010
VA Eastern Colorado Health Care System	CO	649	01/19/2010	Theft	01	2010
Hypertension, Nephrology, Dialysis and Transplantation, PC	AL	2465	03/6/2010	Theft	03	2010
VA North Texas Health Care System	TX	4083	05/4/2010	Improper Disposal	05	2010
St. Vincent Hospital and Health Care Center, Inc.	IN	1199	07/25/2010	Theft	07	2010
Ward A. Morris, DDS	WA	2698	07/16/2010	Theft	07	2010
Curtis R. Bryan, M.D.	VA	2739	07/12/2010	Theft	07	2010
Centro de Ortodoncia Inc.	PR	2000	05/6/2010	Theft	05	2010
Griffin Hospital	CT	957	02/4/2010	Hacking/IT Incident	02	2010
University of Rochester Medical Center and Affiliates	NY	857	08/2/2010	Loss	08	2010
Northridge Hospital Medical Center	CA	716	10/16/2010	Loss	10	2010
Lee Memorial Health System	FL	3800	01/29/2010	Other	01	2010
University of Arkansas for Medical Sciences	AR	1000	10/12/2010	Theft	10	2010
South Carolina Department of Health and Environmental Control	SC	2850	02/17/2010	Improper Disposal	02	2010
United States Air Force	OH	2123	07/29/2010	Improper Disposal	07	2010
Pediatric and Adult Allergy, PC	IA	19222	07/11/2010	Loss	07	2010
alma aguado md pa	TX	600	05/29/2010	Theft	05	2010
California Therapy Solutions	CA	1250	11/11/2010	Theft	11	2010
SW Seattle Orthopaedic and Sports Medicine	WA	9493	09/4/2010	Hacking/IT Incident	09	2010
City of Charlotte, NC (Health Plan)	NC	5220	02/3/2010	Loss	02	2010
Blue Cross and Blue Shield of Florida 	FL	7366	10/16/2010	Unknown	10	2010
Humana Inc [case 4486]	KY	2631	06/25/2010	Other	06	2010
Baylor Heart and Vascular Center	TX	8241	12/2/2010	Theft	12	2010
JEFFREY J. SMITH, MD	OK	600	11/24/2010	Loss	11	2010
Massachusetts Eye and Ear Infirmary	MA	3594	02/19/2010	Theft	02	2010
Franciscan Medical Group	WA	1250	11/18/2010	Theft	11	2010
Granite Medical Group, Inc.	MA	4125	01/02/2010 	Hacking/IT Incident	01	2010 
Ernest T. Bice, Jr. DDS, P.A.	TX	21000	02/20/2010	Theft	02	2010
Spartanburg Regional Healthcare System	SC	400000	03/28/2011	Theft	03	2011
Missouri Department of Social Services	MO	1357	10/16/2011 	Unauthorized Access/Disclosure	10	2011 
Bethesda Hospital, Inc.	OH	946	09/3/2011	Theft	09	2011
Florida Hospital	FL	12784	08/10/2011	Unauthorized Access/Disclosure	08	2011
Diversified Resources, Inc.	GA	863	08/11/2011	Theft	08	2011
Lahey Clinic Hospital, Inc.	MA	599	08/12/2011	Theft	08	2011
The Nemours Foundation	FL	1055489	08/10/2011	Loss	08	2011
NEA Baptist Clinic	AR	3116	07/12/2011	Hacking/IT Incident	07	2011
Brevard Emergency Services, P.A.	FL	2200	08/26/2011	Theft	08	2011
Ford Motor Company Salaried Health Reimbursement Arrangement (HRA) Plan	MI	1700	12/29/2011	Other	12	2011
Austin Center for Therapy and Assessment, LLC	TX	1870	07/8/2011	Theft	07	2011
Kimball Medical Center	NJ	6785	06/24/2011	Theft	06	2011
Advanced Diagnostic Imaging, P.C.	TN	705	05/7/2011	Theft	05	2011
Applegate Valley Family Medicine	OR	2300	12/01/2011	Theft, Unauthorized Access/Disclosure	12	2011
Conway Regional Medical Center	AR	1472	08/24/2011	Loss	08	2011
Health Net, Inc.	CA	1900000	01/21/2011	Unknown	01	2011
Oklaholma State Dept. of Health	OK	132940	04/6/2011	Theft	04	2011
Advanced Occupational Medicine Specialists	IL	7226	10/12/2011	Unauthorized Access/Disclosure	10	2011
St. Mary's Hospital for Children	NY	550	04/17/2011	Theft	04	2011
Brian J Daniels D.D.S.,Paul R Daniels D.D.S.	AZ	10000	03/1/2011	Theft	03	2011
Omnicare, Inc	KY	8845	01/19/2011	Theft	01	2011
Andersen Air Force Base, Guam	VA	700	05/13/2011	Improper Disposal	05	2011
VA Gulf Coast Veterans Health Care System	MS	1797	07/21/2011	Theft	07	2011
UCLA Health System	CA	2761	09/6/2011	Theft	09	2011
NYU School of Medicine Faculty Group Practice	NY	670	01/27/2011	Theft	01	2011
MacNeal Hospital	IL	845	03/10/2011	Hacking/IT Incident	03	2011
Speare Memorial Hospital	NH	5960	04/2/2011	Theft	04	2011
Julie A. Kennedy, D.M.D., P.A.	FL	2900	09/30/2011	Theft	09	2011
Park Avenue Obstetrics & Gynecology, PC	AZ	635	03/25/2011	Theft	03	2011
The Mount Sinai Hospital	NY	712	06/7/2011	Theft	06	2011
Lexington VAMC	KY	1432	05/23/2011	Theft	05	2011
Anchorage Community Mental Health Services Inc.	AK	2743	12/20/2011 	Unauthorized Access/Disclosure	12	2011 
Mutual of Omaha Insurance Company	NE	705	07/28/2011	Theft	07	2011
Lebanon Internal Medicine Associates	PA	55000	09/10/2011	Improper Disposal	09	2011
Stone Oak Urgent Care & Family Practice	TX	6672	10/23/2011	Theft, Loss	10	2011
Sleep HealthCenters LLC	MA	2988	11/23/2011	Theft	11	2011
Sutter Health East Bay Region (Alta Bates Summit Medical Center; Sutter Delta Medical Center; Eden Medical Center)	CA	4479	03/1/2011	Unauthorized Access/Disclosure	03	2011
InStep Foot Clinic, P.A.	MN	2600	08/28/2011	Theft	08	2011
Silverpop Systems Inc. Health and Welfare Plan	GA	884	04/15/2011	Theft	04	2011
Aegis Sciences Corporation	TN	2185	11/22/2011	Theft	11	2011
Robert B. Miller, MD	CA	620	04/1/2011	Theft	04	2011
Hancock OB/GYN	IN	1396	11/09/2011 	Unauthorized Access/Disclosure	11	2011 
Open MRI of Chicago	IL	2000	09/6/2011	Improper Disposal	09	2011
University of Missouri Health Plan	MO	765	01/10/2011	Unauthorized Access/Disclosure	01	2011
MidState Medical Center	CT	93500	02/14/2011	Loss	02	2011
Premier Imaging	NC	551	09/14/2011	Unknown	09	2011
Washington State Department of Social and Health Services	WA	3950	07/1/2011	Unauthorized Access/Disclosure	07	2011
Delta Dental of California	CA	11646	12/22/2011 	Other	12	2011 
University of Nebraska Medical Center	NE	611	11/15/2011	Theft	11	2011
Presbyterian Healthcare Services	NM	7000	12/29/2011	Theft	12	2011
Jeremaih J. Twomey, F.A.C.P., P.A.	TX	2559	12/31/2011	Theft	12	2011
Capron Rescue Squad District	IL	815	02/5/2011	Unauthorized Access/Disclosure	02	2011
Medicare Fee-for-Service Program	MD	13412	04/11/2011	Unauthorized Access/Disclosure	04	2011
Ferris State University - MI College of Optometry	MI	3947	12/1/2011	Hacking/IT Incident	12	2011
Sutter Medical Foundation	AL	943434	10/15/2011	Theft	10	2011
Henry Ford Health System	MI	520	08/8/2011	Theft	08	2011
Phoenix Health Plan	AZ	9393	03/10/2011	Hacking/IT Incident	03	2011
Cleveland Clinic Florida	FL	772	10/3/2011	Loss	10	2011
Gail Gillespie and Associates, LLC	LA	2000	06/25/2011	Theft	06	2011
Community Action partnership of Natrona County	WY	15000	02/23/2011	Hacking/IT Incident	02	2011
Triumph, LLC	NC	2000	12/13/2011	Theft	12	2011
Green River District Health Department	KY	18871	01/12/2011	Hacking/IT Incident	01	2011
Troy Regional Medical Center	AL	880	03/22/2011	Unauthorized Access/Disclosure	03	2011
Rite Aid Corporation 	PA	2900	10/7/2011	Other	10	2011
